Académie;département;Ville;Commune;Etablissement;Code Etablissement;appellation_officielle_uai;denomination_principale_uai;patronyme_uai;X;Y;etat_etablissement;nature_uai;lib_nature;sous_fic;Secteur Public=PU Privé=PR;Effectif Présents série L;Effectif Présents série ES;Effectif Présents série S;Effectif Présents série STMG;Effectif Présents série STI2D;Effectif Présents série STD2A;Effectif Présents série STL;Effectif Présents série ST2S;Effectif Présents série Musiq Danse;Effectif Présents série Hotellerie;Effectif Présents Total séries;Taux Brut de réussite série L;Taux Brut de réussite série ES;Taux Brut de réussite série S;Taux Brut de réussite série STMG;Taux Brut de réussite série STI2D;Taux Brut de réussite série STD2A;Taux Brut de réussite série STL;Taux Brut de réussite série ST2S;Taux Brut de réussite série Musiq Danse;Taux Brut de réussite série Hotellerie;Taux Brut de réussite Total séries;Taux réussite Attendu série L;Taux réussite Attendu série ES;Taux réussite Attendu série S;Taux réussite Attendu série STMG;Taux réussite Attendu série STI2D;Taux réussite Attendu série STD2A;Taux réussite Attendu série STL;Taux réussite Attendu série ST2S;Taux réussite Attendu série Musiq Danse;Taux réussite Attendu série Hotellerie;Taux réussite Attendu toutes séries;Sructure p?dagogique en 7 groupes;Effectif de seconde;Effectif de premi?re;Effectif de terminale;Taux accés Brut seconde-BAC;Taux accés Attendu seconde-BAC;Taux accés Brut premi?re-BAC;Taux accés Attendu premi?re-BAC;Taux accés Brut terminale-BAC;Taux accés Attendu terminale-BAC
AIX-MARSEILLE;ALPES DE HTE PROVENCE;BARCELONNETTE;4019;LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.);0040003G;Lycée général André Honnorat;LYCEE POLYVALENT;ANDRE HONNORAT; 990883.7; 6372215.4;1;306;LYCEE POLYVALENT;3;PU;7;14;20; ; ; ; ; ; ; ;41;100;79;100;;;;;;;;93;;83;92; ; ; ; ; ; ; ;88;A;72;65;52;69;65;86;87;95;93
AIX-MARSEILLE;ALPES DE HTE PROVENCE;DIGNE LES BAINS;4070;LYCEE ALEXANDRA DAVID NEEL;0040027H;Lycée général et technologique Alexandra David Neel;LYCEE GENERAL ET TECHNOLOGIQUE;ALEXANDRA DAVID NEEL; 958861.2; 6338823.7;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;PU;40;33;39;23; ; ; ;37; ; ;172;100;94;85;100;;;;89;;;93;92;95;85;94; ; ; ;94; ; ;91;C;254;227;232;82;77;92;90;95;94
AIX-MARSEILLE;ALPES DE HTE PROVENCE;DIGNE LES BAINS;4070;LYCEE LE SACRE COEUR;0040034R;Lycée général et technologique privé Le Sacré-Coeur;LYCEE GEN.ET TECHNOL.PRIVE;LE SACRE COEUR; 959449.2; 6337781.1;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;PR;4;4;12;11; ; ; ; ; ; ;31;100;75;92;100;;;;;;;94;;;89;95; ; ; ; ; ; ;92;B;29;20;26;57;69;79;87;91;92
AIX-MARSEILLE;ALPES DE HTE PROVENCE;DIGNE LES BAINS;4070;LYCEE PIERRE-GILLES DE GENNES;0040490L;Lycée général et technologique Pierre-Gilles de Gennes;LYCEE GENERAL ET TECHNOLOGIQUE;PIERRE-GILLES DE GENNES; 955242.1; 6335911.2;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;PU; ; ;82; ;58; ;25; ; ; ;165;;;98;;95;;92;;;;96; ; ;96; ;96; ;97; ; ; ;96;F;172;174;182;79;74;93;92;98;97
AIX-MARSEILLE;ALPES DE HTE PROVENCE;MANOSQUE;4112;ECOLE INTERNATIONALE PACA;0040543U;ecole internationale Provence Alpes Cote D'Azur;LYCEE GENERAL;ECOLE INTERNATIONALE PACA; 925549.6; 6307131.4;1;302;LYCEE D ENSEIGNEMENT GENERAL;3;PU;4;8;9; ; ; ; ; ; ; ;21;100;100;100;;;;;;;;100;;;; ; ; ; ; ; ; ;98;A;60;52;43;57;75;59;92;64;97
AIX-MARSEILLE;ALPES DE HTE PROVENCE;MANOSQUE;4112;LYCEE FELIX ESCLANGON;0040010P;Lycée général et technologique F?lix Esclangon;LYCEE GENERAL ET TECHNOLOGIQUE;FELIX ESCLANGON; 923670.5; 6307982.4;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;PU;54;94;79;82; ; ; ; ; ; ;309;94;93;94;96;;;;;;;94;96;95;94;94; ; ; ; ; ; ;95;B;368;336;321;77;78;90;92;97;96
AIX-MARSEILLE;ALPES DE HTE PROVENCE;MANOSQUE;4112;LYCEE LES ISCLES (GENERAL ET TECHNO.);0040533H;Lycée Polyvalent Les Iscles;LYCEE POLYVALENT;LES ISCLES; 924985.1; 6307439.4;1;306;LYCEE POLYVALENT;3;PU; ; ;97; ;55; ; ; ; ; ;152;;;93;;96;;;;;;94; ; ;96; ;95; ; ; ; ; ;95;F;284;187;188;63;70;92;93;96;97
AIX-MARSEILLE;ALPES DE HTE PROVENCE;SISTERON;4209;LYCEE PAUL ARENE (GENERAL ET TECHNO.);0040023D;Lycée polyvalent Paul Aréne;LPO LYCEE DES METIERS;PAUL ARENE; 935571.0; 6347070.2;1;306;LYCEE POLYVALENT;3;PU;13;37;57;14; ; ; ; ; ;27;148;62;81;96;86;;;;;;100;89;87;90;90;92; ; ; ; ; ;91(1);90;C;161;156;158;79;79;89;91;97;96
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE CELONY;0133425C;Lycée technologique privé célony;LYCEE TECHNOLOGIQUE PRIVE;CELONY; 897740.6; 6272911.7;1;301;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;3;PR; ; ; ;28; ;30; ; ; ; ;58;;;;82;;97;;;;;90; ; ; ;90; ;98(1); ; ; ; ;94;F;54;62;61;77;65;87;88;93;94
AIX-MARSEILLE;BOUCHES DU RHONE;AIX EN PROVENCE;13001;LYCEE EMILE ZOLA;0130001F;Lycée général et technologique Emile Zola;LYCEE GENERAL ET TECHNOLOGIQUE;EMILE ZOLA; 899050.5; 6271200.4;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;PU;35;98;146;90; ; ; ;56; ; ;425;86;93;95;96;;;;95;;;94;93;92;91;93; ; ; ;95; ; ;93;C;432;476;430;81;77;89;90;93;94
